area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,1.0,27.0,1,4584.040747028863
Super built-up  Area,Ready To Move,Electronic City,1800.0,3.0,2.0,95.0,3,5277.777777777777
Built-up  Area,18-Apr,Electronic City,630.0,1.0,1.0,34.65,1,5500.0
Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,1.0,71.0,3,5220.588235294118
Built-up  Area,Ready To Move,Electronic City,1620.0,3.0,2.0,62.0,3,3827.1604938271603
Built-up  Area,Ready To Move,Electronic City,1360.0,2.0,1.0,75.0,3,5514.705882352941
Super built-up  Area,18-Dec,Electronic City,1111.0,3.0,1.0,50.0,3,4500.450045004501
Super built-up  Area,18-Apr,Electronic City,1374.0,2.0,1.0,72.0,3,5240.174672489083
Plot  Area,18-Dec,Electronic City,4000.0,5.0,1.0,150.0,4,3750.0
Super built-up  Area,Ready To Move,Electronic City,1652.0,3.0,2.0,70.0,3,4237.28813559322
Super built-up  Area,Ready To Move,Electronic City,1350.0,3.0,2.0,58.0,3,4296.2962962962965
Super built-up  Area,Ready To Move,Electronic City,1700.0,3.0,2.0,75.0,3,4411.764705882353
Super built-up  Area,Ready To Move,Electronic City,1400.0,2.0,1.0,48.0,3,3428.5714285714284
Built-up  Area,Ready To Move,Electronic City,700.0,1.0,1.0,35.0,1,5000.0
Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,1.0,70.5,3,5183.823529411765
Super built-up  Area,Ready To Move,Electronic City,1440.0,2.0,2.0,55.0,3,3819.4444444444443
Super built-up  Area,17-Apr,Electronic City,1156.0,2.0,2.0,44.0,3,3806.2283737024222
Super built-up  Area,18-Dec,Electronic City,1225.0,3.0,0.0,45.03,3,3675.918367346939
Super built-up  Area,18-Apr,Electronic City,1105.0,2.0,1.0,35.0,3,3167.420814479638
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,78.0,3,5200.0
Super built-up  Area,18-Apr,Electronic City,1500.0,2.0,1.0,78.25,3,5216.666666666667
Built-up  Area,18-Apr,Electronic City,1500.0,2.0,1.0,75.0,3,5000.0
Super built-up  Area,20-Dec,Electronic City,2435.0,4.0,3.0,119.0,4,4887.063655030801
Super built-up  Area,18-Apr,Electronic City,1500.0,2.0,1.0,78.0,3,5200.0
Super built-up  Area,20-Dec,Electronic City,2093.0,4.0,1.0,104.0,4,4968.944099378882
Super built-up  Area,Ready To Move,Electronic City,435.0,1.0,1.0,21.0,1,4827.586206896552
Super built-up  Area,18-Mar,Electronic City,1500.0,2.0,1.0,77.5,3,5166.666666666667
Super built-up  Area,Ready To Move,Electronic City,1631.0,3.0,2.0,80.0,3,4904.9662783568365
Super built-up  Area,Ready To Move,Electronic City,435.0,1.0,1.0,22.0,1,5057.471264367816
Built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,63.0,3,4200.0
Super built-up  Area,Ready To Move,Electronic City,1159.0,2.0,3.0,38.0,3,3278.688524590164
Built-up  Area,Ready To Move,Electronic City,2400.0,2.0,0.0,78.0,3,3250.0
Super built-up  Area,17-Oct,Electronic City,1571.0,3.0,2.0,83.0,3,5283.259070655633
Super built-up  Area,Ready To Move,Electronic City,1350.0,3.0,2.0,66.0,3,4888.888888888889
Built-up  Area,Ready To Move,Electronic City,1050.0,2.0,1.0,39.0,3,3714.285714285714
Built-up  Area,Ready To Move,Electronic City,635.0,1.0,1.0,28.0,1,4409.4488188976375
Super built-up  Area,Ready To Move,Electronic City,605.0,1.0,1.0,22.0,1,3636.3636363636365
Super built-up  Area,Ready To Move,Electronic City,1160.0,2.0,2.0,42.0,3,3620.689655172414
Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,1.0,70.0,3,5147.058823529412
Super built-up  Area,Ready To Move,Electronic City,635.0,1.0,0.0,28.0,1,4409.4488188976375
Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,1.0,58.0,3,4264.705882352941
Super built-up  Area,18-Aug,Electronic City,630.0,1.0,1.0,33.7,1,5349.20634920635
Super built-up  Area,Ready To Move,Electronic City,1160.0,2.0,2.0,42.0,3,3620.689655172414
Built-up  Area,Ready To Move,Electronic City,1287.0,3.0,1.0,55.0,3,4273.504273504273
Built-up  Area,Ready To Move,Electronic City,1275.0,3.0,1.0,70.0,3,5490.196078431372
Super built-up  Area,Ready To Move,Electronic City,1275.0,3.0,3.0,63.43,3,4974.901960784314
Super built-up  Area,Ready To Move,Electronic City,1518.0,3.0,3.0,75.0,3,4940.711462450593
Built-up  Area,Ready To Move,Electronic City,1700.0,3.0,2.0,90.0,3,5294.117647058823
Super built-up  Area,Ready To Move,Electronic City,1521.0,2.0,2.0,57.5,3,3780.4076265614726
Super built-up  Area,Ready To Move,Electronic City,750.0,1.0,1.0,35.0,1,4666.666666666667
Built-up  Area,Ready To Move,Electronic City,1500.0,3.0,1.0,73.0,3,4866.666666666667
Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,1.0,29.0,1,4923.599320882852
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,70.0,3,4666.666666666667
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,64.5,3,4300.0
Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,1.0,64.99,3,4778.676470588234
Super built-up  Area,18-May,Electronic City Phase II,630.0,1.0,1.0,28.35,1,4500.0
Super built-up  Area,18-Dec,Electronic City Phase II,2225.0,4.0,0.0,98.88,4,4444.044943820225
Plot  Area,18-Mar,Electronic City Phase II,6000.0,4.0,0.0,260.0,4,4333.333333333333
Built-up  Area,Ready To Move,Electronic City Phase II,575.0,1.0,1.0,16.75,1,2913.0434782608695
Super built-up  Area,Ready To Move,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3,5307.796610169492
Built-up  Area,Ready To Move,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3,5288.5906040268455
Super built-up  Area,Ready To Move,Electronics City Phase 1,1113.27,2.0,2.0,53.0,2,4760.74986301616
Super built-up  Area,Ready To Move,Electronics City Phase 1,1175.0,2.0,2.0,51.47,2,4380.425531914893
Super built-up  Area,19-Dec,Electronics City Phase 1,1160.0,2.0,1.0,52.0,2,4482.758620689655
Super built-up  Area,Ready To Move,Electronics City Phase 1,1750.0,3.0,2.0,84.0,3,4800.0
Super built-up  Area,18-Apr,Electronics City Phase 1,1595.0,3.0,2.0,75.0,3,4702.194357366771
Super built-up  Area,Ready To Move,Electronics City Phase 1,1515.0,2.0,1.0,80.91,3,5340.59405940594
Built-up  Area,Ready To Move,Electronics City Phase 1,995.0,2.0,0.0,46.0,2,4623.115577889447
Super built-up  Area,Ready To Move,Electronics City Phase 1,1555.0,2.0,1.0,82.0,3,5273.311897106109
Super built-up  Area,Ready To Move,Electronics City Phase 1,1124.0,2.0,2.0,55.0,3,4893.238434163701
Super built-up  Area,18-May,Electronics City Phase 1,1175.0,2.0,1.0,57.0,2,4851.063829787234
Built-up  Area,Ready To Move,Electronics City Phase 1,580.0,1.0,1.0,27.0,1,4655.172413793103
Built-up  Area,Ready To Move,Electronics City Phase 1,940.0,2.0,2.0,49.0,2,5212.765957446809
Super built-up  Area,19-Dec,Electronics City Phase 1,1335.0,2.0,2.0,67.0,2,5018.7265917603
Super built-up  Area,Ready To Move,Electronics City Phase 1,1113.12,2.0,2.0,55.0,2,4941.066551674573
Built-up  Area,Ready To Move,Electronics City Phase 1,1350.0,3.0,0.0,71.0,3,5259.259259259259
Super built-up  Area,Ready To Move,Electronics City Phase 1,995.0,2.0,1.0,49.8,2,5005.025125628141
Super built-up  Area,19-Dec,Electronics City Phase 1,1450.0,3.0,2.0,72.54,3,5002.758620689656
Super built-up  Area,Ready To Move,Electronics City Phase 1,360.0,1.0,0.0,16.9,1,4694.444444444443
Built-up  Area,Ready To Move,Electronics City Phase 1,638.0,1.0,1.0,32.0,1,5015.673981191223
Super built-up  Area,19-Dec,Electronics City Phase 1,1200.0,2.0,2.0,59.76,2,4980.0
Super built-up  Area,18-Mar,Electronics City Phase 1,1145.0,2.0,1.0,54.0,2,4716.157205240174
Super built-up  Area,Ready To Move,Electronics City Phase 1,1550.0,2.0,2.0,82.0,3,5290.322580645161
Built-up  Area,Ready To Move,Electronics City Phase 1,865.0,2.0,0.0,40.0,2,4624.277456647399
Super built-up  Area,17-Jun,Electronics City Phase 1,1450.0,3.0,1.0,70.0,3,4827.586206896552
Super built-up  Area,Ready To Move,Electronics City Phase 1,1450.0,2.0,2.0,63.51,3,4380.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1800.0,3.0,2.0,93.0,3,5166.666666666667
Super built-up  Area,18-Jul,Electronics City Phase 1,1314.0,2.0,2.0,60.0,2,4566.2100456621
Super built-up  Area,18-Apr,Electronics City Phase 1,1170.0,2.0,1.0,62.0,2,5299.145299145299
Super built-up  Area,Ready To Move,Electronics City Phase 1,940.0,2.0,1.0,48.0,2,5106.382978723404
Super built-up  Area,17-May,Electronics City Phase 1,940.0,2.0,1.0,44.0,2,4680.851063829788
Super built-up  Area,Ready To Move,Electronics City Phase 1,1300.0,2.0,1.0,67.0,2,5153.846153846154
Built-up  Area,Ready To Move,Electronics City Phase 1,1028.0,2.0,1.0,51.0,2,4961.089494163424
Super built-up  Area,18-May,Electronics City Phase 1,1205.0,2.0,2.0,60.0,2,4979.253112033195
Super built-up  Area,Ready To Move,Electronics City Phase 1,1900.0,3.0,2.0,85.0,3,4473.684210526316
Super built-up  Area,18-Jun,Electronics City Phase 1,1305.0,2.0,1.0,67.0,2,5134.099616858238
Super built-up  Area,Ready To Move,Electronics City Phase 1,1175.0,2.0,1.0,60.0,2,5106.382978723404
Super built-up  Area,Ready To Move,Frazer Town,1700.0,3.0,1.0,180.0,3,10588.235294117647
Super built-up  Area,Ready To Move,Frazer Town,1870.0,3.0,3.0,185.0,3,9893.048128342247
Super built-up  Area,Ready To Move,Frazer Town,1750.0,3.0,2.0,150.0,3,8571.42857142857
Super built-up  Area,Ready To Move,Frazer Town,2000.0,3.0,1.0,200.0,3,10000.0
Built-up  Area,Ready To Move,Frazer Town,3500.0,4.0,2.0,330.0,3,9428.57142857143
Super built-up  Area,Ready To Move,Frazer Town,2560.0,3.0,2.0,265.0,3,10351.5625
Built-up  Area,Ready To Move,Frazer Town,1700.0099999999998,3.0,1.0,180.0,3,10588.173010746998
Super built-up  Area,Ready To Move,Frazer Town,2400.0,3.0,2.0,260.0,3,10833.333333333334
Super built-up  Area,Ready To Move,Frazer Town,1706.0,3.0,3.0,154.0,3,9026.963657678782
Built-up  Area,18-Apr,Frazer Town,2079.0,3.0,3.0,220.0,3,10582.010582010582
Super built-up  Area,Ready To Move,Frazer Town,1870.0,3.0,3.0,180.0,3,9625.668449197861
Plot  Area,Ready To Move,Frazer Town,896.0,1.0,0.0,100.0,1,11160.714285714286
Super built-up  Area,Ready To Move,GM Palaya,1820.0,2.0,3.0,86.0,3,4725.274725274725
Super built-up  Area,18-Mar,GM Palaya,1140.0,2.0,2.0,48.95,2,4293.859649122807
Built-up  Area,Ready To Move,GM Palaya,1315.0,2.0,2.0,65.0,3,4942.9657794676805
Super built-up  Area,Ready To Move,GM Palaya,1315.0,3.0,1.0,65.0,3,4942.9657794676805
Super built-up  Area,Ready To Move,GM Palaya,1315.0,3.0,0.0,64.0,3,4866.920152091255
Super built-up  Area,Ready To Move,GM Palaya,1643.0,2.0,2.0,70.0,3,4260.49908703591
Super built-up  Area,Ready To Move,Ganga Nagar,600.0,1.0,0.0,38.0,1,6333.333333333333
Super built-up  Area,Ready To Move,Ganga Nagar,845.0,2.0,1.0,55.0,2,6508.87573964497
Super built-up  Area,Ready To Move,Ganga Nagar,1112.0,2.0,3.0,68.0,2,6115.107913669065
Super built-up  Area,Ready To Move,Ganga Nagar,998.0,2.0,2.0,65.0,2,6513.026052104208
Super built-up  Area,Ready To Move,Garudachar Palya,1325.0,2.0,2.0,60.8,3,4588.679245283019
Super built-up  Area,Ready To Move,Garudachar Palya,1060.0,2.0,1.0,48.7,2,4594.33962264151
Super built-up  Area,Ready To Move,Garudachar Palya,1150.0,2.0,1.0,52.75,2,4586.95652173913
Super built-up  Area,Ready To Move,Garudachar Palya,1295.0,2.0,1.0,59.5,3,4594.594594594595
Super built-up  Area,Ready To Move,Garudachar Palya,1320.0,2.0,2.0,60.6,3,4590.909090909091
Super built-up  Area,Ready To Move,Garudachar Palya,1295.0,2.0,2.0,59.5,3,4594.594594594595
Super built-up  Area,Ready To Move,Garudachar Palya,1150.0,2.0,2.0,52.8,2,4591.304347826087
Super built-up  Area,Ready To Move,Garudachar Palya,1150.0,2.0,1.0,52.8,2,4591.304347826087
Super built-up  Area,Ready To Move,Garudachar Palya,1060.0,2.0,1.0,48.5,2,4575.471698113208
Super built-up  Area,Ready To Move,Garudachar Palya,1150.0,2.0,1.0,52.5,2,4565.217391304348
Super built-up  Area,Ready To Move,Garudachar Palya,1325.0,2.0,2.0,60.8,3,4588.679245283019
Super built-up  Area,Ready To Move,Garudachar Palya,1060.0,2.0,1.0,48.66,2,4590.566037735849
Plot  Area,Ready To Move,Giri Nagar,2400.0,4.0,1.0,400.0,4,16666.666666666668
Plot  Area,Ready To Move,Giri Nagar,1800.0,3.0,2.0,252.0,3,14000.0
Plot  Area,Ready To Move,Giri Nagar,1350.0,3.0,0.0,240.0,3,17777.777777777777
Plot  Area,Ready To Move,Giri Nagar,2400.0,4.0,2.0,400.0,4,16666.666666666668
Plot  Area,Ready To Move,Giri Nagar,2400.0,6.0,1.0,400.0,6,16666.666666666668
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,861.0,2.0,0.0,36.5,2,4239.256678281068
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,1129.0,2.0,1.0,50.0,2,4428.697962798937
Built-up  Area,Ready To Move,Gottigere,1100.0,2.0,2.0,40.0,2,3636.3636363636365
Built-up  Area,Ready To Move,Gottigere,967.0,2.0,3.0,45.0,2,4653.567735263702
Super built-up  Area,Ready To Move,Gottigere,950.0,2.0,1.0,38.0,2,4000.0
Super built-up  Area,Ready To Move,Gottigere,1153.0,2.0,1.0,48.5,2,4206.418039895923
Super built-up  Area,Ready To Move,Gottigere,990.0,2.0,1.0,40.0,2,4040.40404040404
Built-up  Area,Ready To Move,Gottigere,945.0,2.0,0.0,45.0,2,4761.9047619047615
Super built-up  Area,Ready To Move,Gottigere,1120.0,2.0,2.0,50.0,2,4464.285714285715
Super built-up  Area,Ready To Move,Gottigere,1280.0,2.0,1.0,61.0,2,4765.625
Super built-up  Area,Ready To Move,Gottigere,1205.0,2.0,1.0,56.58,2,4695.435684647303
Super built-up  Area,Ready To Move,Gottigere,1245.0,2.0,2.0,59.0,2,4738.955823293173
Super built-up  Area,Ready To Move,Gottigere,1200.0,2.0,2.0,50.0,2,4166.666666666667
Super built-up  Area,Ready To Move,Green Glen Layout,3250.0,4.0,3.0,230.0,4,7076.923076923077
Super built-up  Area,Ready To Move,Green Glen Layout,3250.0,4.0,0.0,230.0,4,7076.923076923077
Super built-up  Area,Ready To Move,Green Glen Layout,1715.0,3.0,2.0,115.0,3,6705.539358600583
Super built-up  Area,Ready To Move,Green Glen Layout,1751.0,2.0,1.0,115.0,3,6567.6756139348945
Super built-up  Area,Ready To Move,Green Glen Layout,1530.0,3.0,2.0,105.0,3,6862.745098039216
Super built-up  Area,Ready To Move,Green Glen Layout,1645.0,3.0,2.0,110.0,3,6686.930091185411
Super built-up  Area,Ready To Move,Green Glen Layout,1517.0,3.0,3.0,100.0,3,6591.957811470006
Super built-up  Area,Ready To Move,Green Glen Layout,3150.0,4.0,3.0,218.0,4,6920.6349206349205
Super built-up  Area,Ready To Move,Green Glen Layout,3270.0,4.0,3.0,205.0,4,6269.113149847095
Super built-up  Area,Ready To Move,Green Glen Layout,1750.0,3.0,2.0,120.0,3,6857.142857142857
Super built-up  Area,Ready To Move,Green Glen Layout,1751.0,3.0,2.0,115.0,3,6567.6756139348945
Super built-up  Area,Ready To Move,Green Glen Layout,1715.0,3.0,3.0,120.0,3,6997.084548104956
Super built-up  Area,Ready To Move,Green Glen Layout,1623.29,2.0,2.0,105.0,3,6468.345150897252
Super built-up  Area,Ready To Move,Green Glen Layout,1715.0,3.0,3.0,115.0,3,6705.539358600583
Super built-up  Area,Ready To Move,Green Glen Layout,1715.0,3.0,2.0,105.0,3,6122.448979591837
Built-up  Area,Ready To Move,Green Glen Layout,1600.0,3.0,3.0,105.0,3,6562.5
Super built-up  Area,Ready To Move,Green Glen Layout,1715.0,3.0,3.0,112.0,3,6530.6122448979595
Super built-up  Area,Ready To Move,Gubbalala,1470.0,2.0,2.0,82.0,3,5578.231292517007
Super built-up  Area,Ready To Move,Gubbalala,1745.0,3.0,2.0,104.0,3,5959.885386819485
Built-up  Area,Ready To Move,Gubbalala,2570.0,4.0,0.0,141.0,5,5486.381322957199
Super built-up  Area,Ready To Move,Gubbalala,1205.0,2.0,2.0,70.0,2,5809.128630705394
Super built-up  Area,Ready To Move,Gubbalala,1435.0,2.0,2.0,80.0,3,5574.912891986062
Super built-up  Area,Ready To Move,Gubbalala,1475.0,2.0,2.0,80.0,2,5423.728813559322
Super built-up  Area,18-Apr,Gunjur,1140.0,2.0,3.0,43.0,2,3771.9298245614036
Built-up  Area,Ready To Move,Gunjur,1600.0,3.0,3.0,75.0,3,4687.5
Plot  Area,Ready To Move,Gunjur,2000.0,3.0,0.0,95.0,4,4750.0
Super built-up  Area,18-Aug,Gunjur,1140.0,2.0,2.0,49.11,2,4307.894736842105
Super built-up  Area,Ready To Move,Gunjur,1195.0,2.0,2.0,44.0,2,3682.0083682008367
Built-up  Area,18-Mar,Gunjur,1457.0,2.0,3.0,60.0,2,4118.050789293068
Super built-up  Area,Ready To Move,Gunjur,1080.0,2.0,2.0,41.0,2,3796.296296296296
Super built-up  Area,Ready To Move,Gunjur,2132.0,3.0,3.0,80.0,3,3752.34521575985
Super built-up  Area,Ready To Move,Gunjur,1800.0,3.0,1.0,70.0,3,3888.8888888888887
Super built-up  Area,Ready To Move,Gunjur,1175.0,2.0,2.0,43.48,2,3700.425531914894
Super built-up  Area,Ready To Move,Gunjur,1362.0,3.0,2.0,62.63,3,4598.384728340676
Super built-up  Area,Ready To Move,Gunjur,1071.0,2.0,1.0,51.0,2,4761.9047619047615
Super built-up  Area,Ready To Move,Gunjur,1063.0,2.0,2.0,40.0,2,3762.9350893697083
Super built-up  Area,18-Aug,Gunjur,1235.0,2.0,2.0,52.76,2,4272.064777327935
Super built-up  Area,Ready To Move,Gunjur,1362.0,3.0,1.0,62.63,3,4598.384728340676
Super built-up  Area,Ready To Move,Gunjur,1362.0,3.0,1.0,62.63,3,4598.384728340676
Super built-up  Area,Ready To Move,Gunjur,1457.0,2.0,3.0,60.0,2,4118.050789293068
Super built-up  Area,18-May,Gunjur Palya,1050.0,2.0,1.0,43.0,2,4095.2380952380954
Super built-up  Area,18-Dec,Gunjur Palya,900.0,2.0,1.0,27.0,2,3000.0
Super built-up  Area,18-Dec,Gunjur Palya,849.0,2.0,2.0,25.4,2,2991.7550058892816
Plot  Area,17-Dec,HAL 2nd Stage,600.0,3.0,2.0,145.0,2,24166.666666666668
Plot  Area,Ready To Move,HAL 2nd Stage,2040.0,4.0,1.0,500.0,5,24509.803921568626
Built-up  Area,Ready To Move,HBR Layout,2800.0,2.0,0.0,200.0,3,7142.857142857143
Super built-up  Area,Ready To Move,HBR Layout,1722.0,3.0,0.0,95.0,3,5516.8408826945415
Built-up  Area,Ready To Move,HBR Layout,1783.0,3.0,2.0,125.0,3,7010.656197420079
Super built-up  Area,Ready To Move,HBR Layout,1656.0,3.0,2.0,90.0,3,5434.782608695652
Super built-up  Area,Ready To Move,HBR Layout,1089.0,2.0,1.0,60.0,2,5509.641873278237
Super built-up  Area,Ready To Move,HBR Layout,1700.0,3.0,1.0,110.0,3,6470.588235294118
Built-up  Area,Ready To Move,HBR Layout,1198.0,2.0,1.0,65.0,2,5425.709515859767
Super built-up  Area,Ready To Move,HBR Layout,1832.0,3.0,2.0,160.0,3,8733.624454148472
Built-up  Area,Ready To Move,HRBR Layout,1374.0,2.0,2.0,95.0,2,6914.1193595342065
Built-up  Area,Ready To Move,HRBR Layout,1440.0,2.0,2.0,98.0,2,6805.555555555556
Super built-up  Area,Ready To Move,HRBR Layout,1567.0,3.0,3.0,90.0,3,5743.458838544991
Super built-up  Area,Ready To Move,HRBR Layout,1210.0,2.0,1.0,75.0,2,6198.347107438017
Super built-up  Area,Ready To Move,HRBR Layout,1265.0,2.0,1.0,78.0,2,6166.00790513834
Super built-up  Area,Ready To Move,HRBR Layout,1170.0,2.0,2.0,75.0,2,6410.25641025641
Built-up  Area,Ready To Move,HRBR Layout,1335.0,2.0,1.0,87.0,3,6516.853932584269
Super built-up  Area,Ready To Move,HRBR Layout,1625.0,3.0,2.0,120.0,3,7384.615384615385
Super built-up  Area,Ready To Move,HRBR Layout,1145.0,2.0,2.0,68.5,2,5982.532751091703
Built-up  Area,Ready To Move,HRBR Layout,1300.0,2.0,3.0,90.0,2,6923.076923076923
Super built-up  Area,Ready To Move,HSR Layout,1400.0,3.0,2.0,56.0,3,4000.0
Super built-up  Area,Ready To Move,HSR Layout,1372.0,2.0,1.0,68.0,2,4956.268221574344
Super built-up  Area,Ready To Move,HSR Layout,1430.0,2.0,1.0,65.0,3,4545.454545454545
Super built-up  Area,Ready To Move,HSR Layout,1475.0,3.0,2.0,75.0,3,5084.745762711865
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,Ready To Move,HSR Layout,1372.0,2.0,1.0,61.0,2,4446.064139941691
Super built-up  Area,Ready To Move,HSR Layout,1750.0,3.0,2.0,95.0,3,5428.571428571428
Super built-up  Area,Ready To Move,HSR Layout,1027.0,2.0,2.0,44.0,2,4284.323271665044
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,Ready To Move,HSR Layout,1372.0,2.0,1.0,61.0,2,4446.064139941691
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,Ready To Move,HSR Layout,1185.0,2.0,2.0,60.0,2,5063.291139240507
Super built-up  Area,Ready To Move,HSR Layout,1145.0,2.0,2.0,48.0,2,4192.139737991266
Super built-up  Area,Ready To Move,HSR Layout,1009.0,2.0,2.0,56.0,2,5550.049554013875
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Built-up  Area,Ready To Move,HSR Layout,1360.0,2.0,1.0,53.0,3,3897.0588235294117
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,Ready To Move,HSR Layout,1145.0,2.0,2.0,46.0,2,4017.467248908297
Super built-up  Area,Ready To Move,HSR Layout,1142.0,2.0,2.0,65.0,2,5691.768826619965
Super built-up  Area,Ready To Move,HSR Layout,1145.0,2.0,2.0,46.0,2,4017.467248908297
Super built-up  Area,Ready To Move,HSR Layout,1844.0,3.0,3.0,95.0,3,5151.843817787419
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,Ready To Move,HSR Layout,1145.0,2.0,2.0,46.0,2,4017.467248908297
Super built-up  Area,Ready To Move,HSR Layout,1009.0,2.0,2.0,56.0,2,5550.049554013875
Built-up  Area,Ready To Move,HSR Layout,1145.0,2.0,2.0,46.0,2,4017.467248908297
Super built-up  Area,Ready To Move,HSR Layout,1100.0,2.0,2.0,44.0,2,4000.0
Super built-up  Area,Ready To Move,HSR Layout,1203.0,2.0,2.0,60.0,2,4987.5311720698255
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,Ready To Move,HSR Layout,1289.0,2.0,0.0,70.0,2,5430.566330488751
Super built-up  Area,Ready To Move,HSR Layout,1844.0,3.0,1.0,89.0,3,4826.46420824295
Built-up  Area,Ready To Move,HSR Layout,1203.0,2.0,2.0,60.0,2,4987.5311720698255
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457
Super built-up  Area,18-Apr,Haralur Road,1240.0,2.0,1.0,70.0,2,5645.1612903225805
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,2.0,44.0,2,4284.323271665044
Super built-up  Area,Ready To Move,Haralur Road,1464.0,3.0,2.0,56.0,3,3825.136612021858
Super built-up  Area,18-Dec,Haralur Road,2805.0,5.0,3.0,154.0,4,5490.196078431372
Super built-up  Area,Ready To Move,Haralur Road,1194.0,2.0,2.0,47.0,2,3936.348408710218
Built-up  Area,Ready To Move,Haralur Road,1202.0,2.0,1.0,53.0,2,4409.317803660566
Super built-up  Area,Ready To Move,Haralur Road,1056.0,2.0,1.0,61.0,2,5776.515151515152
Super built-up  Area,Ready To Move,Haralur Road,1464.0,3.0,2.0,56.0,3,3825.136612021858
Super built-up  Area,18-Jul,Haralur Road,1810.0,3.0,2.0,100.0,3,5524.861878453039
Super built-up  Area,Ready To Move,Haralur Road,1194.0,2.0,2.0,46.0,2,3852.5963149078725
Super built-up  Area,18-Apr,Haralur Road,2805.0,4.0,3.0,154.0,4,5490.196078431372
Super built-up  Area,18-Jul,Haralur Road,1225.0,2.0,1.0,67.38,2,5500.408163265306
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,2.0,44.0,2,4284.323271665044
Super built-up  Area,18-May,Haralur Road,1875.0,3.0,2.0,110.0,3,5866.666666666667
Super built-up  Area,Ready To Move,Haralur Road,1194.0,2.0,2.0,47.0,2,3936.348408710218
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,2.0,44.0,2,4284.323271665044
Super built-up  Area,Ready To Move,Haralur Road,1194.0,2.0,2.0,46.0,2,3852.5963149078725
Super built-up  Area,18-Jul,Haralur Road,1875.0,3.0,3.0,110.0,3,5866.666666666667
Super built-up  Area,Ready To Move,Haralur Road,1092.0,2.0,2.0,44.0,2,4029.3040293040294
Super built-up  Area,Ready To Move,Haralur Road,2475.0,4.0,0.0,130.0,3,5252.525252525253
Super built-up  Area,Ready To Move,Haralur Road,1300.0,2.0,2.0,73.0,2,5615.384615384615
Super built-up  Area,Ready To Move,Haralur Road,1194.0,2.0,2.0,47.0,2,3936.348408710218
Super built-up  Area,Ready To Move,Haralur Road,1850.0,3.0,0.0,110.0,3,5945.945945945946
Super built-up  Area,18-Aug,Haralur Road,1225.0,2.0,1.0,67.38,2,5500.408163265306
Super built-up  Area,Ready To Move,Haralur Road,1464.0,2.0,2.0,56.0,2,3825.136612021858
Built-up  Area,Ready To Move,Haralur Road,1000.0,2.0,2.0,44.0,2,4400.0
Super built-up  Area,Ready To Move,Haralur Road,1444.0,2.0,1.0,80.0,3,5540.16620498615
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,1.0,44.0,2,4284.323271665044
Super built-up  Area,Ready To Move,Haralur Road,1464.0,3.0,2.0,56.0,3,3825.136612021858
Super built-up  Area,18-Mar,Haralur Road,1225.0,2.0,1.0,70.0,2,5714.285714285715
Super built-up  Area,Ready To Move,Haralur Road,1464.0,3.0,3.0,56.0,3,3825.136612021858
Super built-up  Area,Ready To Move,Haralur Road,1194.0,2.0,2.0,46.0,2,3852.5963149078725
Super built-up  Area,18-Dec,Haralur Road,1830.0,3.0,2.0,101.0,3,5519.12568306011
Super built-up  Area,Ready To Move,Haralur Road,1464.0,2.0,2.0,56.0,2,3825.136612021858
